,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
60,22,Bonny Doon Le Cigare Volant California +,Bonny Doon,1986,92,14.0,"Big and rich, with incredibly deep cherry and blackberry fruit, massive concentration, long and turning spicy on the finish, but it's not at all heavy . Smooth and appealing now, but it can only get better with age. Drink now through 1995. —",1988
61,46,Dunn Cabernet Sauvignon Napa Valley +,Dunn,1985,94,20.0,"Intense and concentrated, packed with ripe cassis, cherry and currant flavors that are rich and elegant. The acidity and tannins are crisp and juicy, offering great potential for the cellar. A real mouthful of Cabernet. —",1988
62,34,Château Lafite Rothschild Pauillac +,Château Lafite Rothschild,1985,97,80.0,"Defines elegance and sophistication with distinct tea, earthy chocolate, cherry and cassis flavors that gently unfold onthe palate. It's impeccibly well balanced with soft, smooth yet firm tannins that give it structure and depth. Should age 20 or 30 years, maybe longer. Tasted twice; first bottle was ""corked"". —JS",1988
63,7,Louis Jadot Beaune Clos des Ursules +,Louis Jadot,1985,95,30.0,"Ripe, rich and velvety, with gorgeous buttery cherry, chocolate, toast and spice flavors, firmly supported with just enough acidity and tannin, an exotic, sexy wine. Complexity, richness and grace in one package. One of the great values of this vintage. —",1988
64,53,Opus One Napa Valley +,Opus One,1984,94,50.0,"Broad, rich and deep with layers of black cherry, mint and cassis flavors and a toasty, cedary overlay. Very nicely integrated, ample tannins that are firm but not rough, and a long full finish. Give this one at least five years. Best Opus One to date. 10,000 cases made. —",1988
65,72,Chartron & Trébuchet Puligny-Montrachet Clos de la Pucelle Domaine Jean Chartron +,Chartron & Trébuchet,1986,94,50.0,"Hums with intensity, yet it sits lightly on the palate, beautifully focused with pear, apple, toast and honey in exquisite balance. The flavors seem t o get even more concentrated on the finish. —",1988
66,23,Kendall-Jackson Syrah Sonoma Valley Durell Vineyard +,Kendall-Jackson,1986,92,14.0,"Supple and rich, with spicy cherry aromas and flavors, beautiful overtones of sweet oak and cinnamon; voluptuous and succulent—you could drink it now in a fit of sheer hedonism, but give it till 1991 or '92 for the full effect. —",1988
67,36,Château Haut-Brion Graves +,Château Haut-Brion,1985,96,70.0,"Firm and concentrated with flavors that spread out on the palate. It's rich and woody, very structured and firm, packed with cassis and black cherry fruit and cedary tobacco. Offers an abundance of flavors in an elegant package. One of the finest Haut-Brions we've tasted. —",1988
68,8,Spottswoode Cabernet Sauvignon Napa Valley +,Spottswoode,1985,95,25.0,"Packed with flavor, dense in color, aroma and massively concentrated, hints of cedar, tar and anise surrounding a solid core of currant and berry fruit, yet not terribly weighty. Once it loosens up, maybe around the turn of the century, it should be lovely. —",1988
69,67,Château L'Église Clinet Pomerol +,Château L'Église Clinet,1985,93,30.0,"Very firm, chewy and concentrated, with ripe currant and cherry fruit, a hi time to resolve, but it's yummy already. —",1988
70,62,Château Meyney St.-Estèphe +,Château Meyney,1985,92,16.0,"Hard-edged St. Estephe with enough of a finish of smooth vanilla and fruit to suggest that it will be more likeable as it ages and the tough, tannic structure and tobacco-herbal flavors resolve. Has the stuff you'd expect from a classed growth. —",1988
71,55,Ferrari-Carano Chardonnay Alexander Valley +,Ferrari-Carano,1986,93,13.0,"Well defined apple, pear and spicy flavors in a crisp, elegant, concentrated style that bodes well for drinking now or for cellaring three or more years. Smoky pear aftertaste lingers. —",1988
72,75,Castello dei Rampolla Chianti Classico +,Castello dei Rampolla,1985,90,8.0,"Firm and concentrated, a tightly wound, superbly balanced wine bursting with ripe cherry, cedar, black pepper and haunting overtones of oak. Delicious now, it should be lovelier after a year or two in the bottle. —",1988
73,39,Chateau Musar Lebanon +,Chateau Musar,1980,91,17.0,"An intriguing wine with great complexity. Leathery and smoky aromas and mature, ripe fruit flavors of spice and plum. The color and aromas seem mature but it is still tart and somewhat tannic and should age graciously. —",1988
74,20,Gaja Barbaresco +,Gaja,1985,95,45.0,"Stunning, almost buttery in its richness, smooth, rich and complex, has power and finesse, plus chocolatey richness that can only become greater. Has the fruit of Barbaresco, the finesse and elegance of Bordeaux and the power and intensity of California. —",1988
75,98,Nalle Zinfandel Dry Creek Valley +,Nalle,1986,90,9.0,"Very stylish and unique. Extra fruity and buttery, in a jammy, fresh style that nevertheless has lots of stuffing and considerable depth of raspberry flavor. A long, tart, fruity finish makes it almost elegant. —",1988
76,91,Navarro White Riesling Anderson Valley +,Navarro,1987,90,7.0,"A bit sweet, firmly balanced with crisp acidity, packed with juicy grapefruit and green apple flavors. There's a lovely hint of apricot on the nose. Very fine structure, vivid flavors and impressive length. —",1988
77,70,Prince Florent de Mérode Pommard Clos de la Platière +,Prince Florent de Mérode,1985,94,45.0,"Unexpectedly deep and rich, big and mouthwatering, with ripe, sweet cherry, blackberry, raspberry fruit, a distinctive cedary character from oak, all in magnificent balance. A muscular wine with grace. —",1988
78,76,Sterling Three Palms Vineyard Napa Valley +,Sterling,1985,93,22.0,"Loaded with fruit and concentrated flavors that are rich and tannins, filled with pretty currant, black cherry and plum flavors, along with buttery oak that offers depth and dimension. Has tannin for aging. Drink 1993. —",1988
79,84,Alsace Willm Gewürztraminer Alsace +,Alsace Willm,1985,91,11.0,"A serious but eminently likeable Gewürz. Has clearly defined, concentrated peach, spice and grapefruit flavors backed by good acidity. Fruity, round in the mouth and well-balanced. Honey and more fruit come through on the finish. —",1988
80,74,Torres Penedès Gran Sangre de Toro Reserva +,Torres,1983,91,9.0,"Rich and complex, with earthy, leathery aromas and flavors around a solid core of cherry and berry fruit, all of which comes together in a complex finish that lasts and lasts. There's enough to take it at least four or five years. —",1988
81,52,Château La Mission Haut-Brion Graves +,Château La Mission Haut-Brion,1985,95,0.0,"Very firm and structured but polished tannins, a sweet core of fruit underneath, rich, concentrated plum, cassis, and cherry fruit that's velvey on the palate up until the finish. Then the tannins take over, drying up the palate. Has fine potential. —JS",1988
82,65,Château Larmande St.-Emilion +,Château Larmande,1985,93,23.0,"Rich, concentrated and strucutred with beautifully knit flavors of plum, to bacco and chocolate. It's elegant and stylish, spreading out on the palate with silkiness and softness without sacrificing intensity. —",1988
83,80,Corbans Chardonnay Marlborough +,Corbans,1986,92,10.0,"Full of sweet-seeming honey, butter and vanilla flavors with a hint of nutm eg and pineapple. A forward, gorgeous wine that's nicely oily in texture, w ell structured with acid and lasts a long time on the finish. —",1988
84,77,Jean-Noël Gagnard Bâtard-Montrachet +,Jean-Noël Gagnard,1986,95,93.0,"Rich and lushly layered, with cascading flavors of pear, buttery, vanilla a nd more, concentrated, powerful, yet elegant and smooth. Absolutely delicio us now, but given time in the cellar it should be devastating. —",1988
