,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
2629,68,Godelia Mencía Bierzo +,Godelia,2010,92,21.0,"Focused yet expressive, this balanced red offers cherry, boysenberry and currant fruit, with accents of toast, licorice and mineral. The flavors build through the long and spicy finish. Drink now through 2020. 6,660 cases made. —TM",2014
2630,71,Roar Pinot Noir Santa Lucia Highlands Rosella's Vineyard +,Roar,2012,93,52.0,"Alluring, offering a mix of supple, graceful plum and blackberry flavors, with pretty floral scents. This is a delightfully harmonious and elegant offering, presenting deep, rich flavors and solid length and persistence. Drink now through 2022. 563 cases made. —JL",2014
2631,85,Masciarelli Montepulciano d'Abruzzo Marina Cveti S. Martino Rosso +,Masciarelli,2010,91,25.0,"A fresh, harmonious red, offering a subtle range of flavors, with rich notes of smoky mineral, crushed blackberry, olive tapenade, grilled herb and ground anise. Fine-grained tannins emerge on the finish. Drink now through 2024. 2,500 cases imported. —AN",2014
2632,72,Château Lilian Ladouys St.-Estèphe +,Château Lilian Ladouys,2011,90,19.0,"This is generous and forward for a St.-Estèphe, with plum and kirsch notes lined with hints of blood orange and red licorice. Shows a juicy feel through the finish, balanced by honest grip. A modern rendition that maintains a tug of terroir. Drink now through 2019. 22,500 cases made. —JM",2014
2633,77,E. Guigal Côte-Rôtie Château d'Ampuis +,E. Guigal,2010,97,206.0,"Rock-solid, offering dark currant and blackberry paste flavors that race along, thanks to well-embedded graphite and charcoal notes. The finish lets warm fruitcake, plum skin and singed juniper details fill in, with plenty of grip. Mouthwatering acidity and a long echo of sweet tapenade keep this racy and defined. Best from 2015 through 2035. 2,200 cases made. —JM",2014
2634,73,Gérard Bertrand Syrah-Grenache Languedoc +,Gérard Bertrand,2011,90,19.0,"A ripe aroma leads to rich, concentrated dark plum, kirsch and dried blueberry flavors, with a succulent spiciness. The finish shows touches of smoke, alongside notes of chocolate. Drink now through 2017. 18,000 cases made. —KM",2014
2635,78,Acrobat Pinot Noir Oregon +,Acrobat,2012,90,20.0,"The crisp tannins and sleek structure give the up-front blackberry, currant and floral spice flavors good lift, coming together smoothly on the persistent finish. Drink now through 2016. 38,000 cases made. —HS",2014
2636,74,di Majo Norante Molise Ramitello +,di Majo Norante,2011,90,18.0,"The up-front mulberry and plum fruit is ripe and fleshy in this balanced red, with polished tannins. Notes of licorice string, graphite, tarry smoke and grilled mushroom push through midpalate and on the finish. Drink now through 2021. 8,500 cases made. —AN",2014
2637,87,Firriato Sicilia Santagostino Baglio Soria Red +,Firriato,2011,91,23.0,"Aromas and flavors of bacon fat and mesquite smoke mix with ripe black cherry, licorice snap, mocha and mint in this expressive red, with fine-grained tannins and juicy acidity. Elegant through to the aromatic, coffee-tinged finish. Nero d'Avola and Syrah. Drink now through 2024. 70,000 cases made. —AN",2014
2638,84,Bodegas Marqués de Murrieta Rioja Castillo Ygay Gran Reserva Especial +,Bodegas Marqués de Murrieta,2005,94,89.0,"Bold and rich, this red fills the palate with blackberry, plum sauce, soy, chocolate and spice flavors. Broad and deep, in a modern style, with plenty of oak and enough backbone to stay focused. Drink now through 2020. Tasted twice, with consistent notes. 750 cases imported. —TM",2014
2639,76,Vietti Barbera d'Asti Tre Vigne +,Vietti,2012,90,17.0,"A bright, flashy version, featuring black currant and blackberry fruit that shows notes of vanilla and spice. The oak adds tannins, lending this a tight feel on the otherwise fine finish. Needs time. Best from 2016 through 2020. 5,000 cases made. —BS",2014
2640,83,Round Pond Estate Sauvignon Blanc Rutherford +,Round Pond Estate,2013,90,24.0,"Opens up with lemon verbena, citrus and melon notes that are round and juicy, balanced with sophisticated details of honeysuckle and grapefruit zest. This finishes with a crescendo of flavors, lingering on the finish. Drink now. 9,700 cases made. —MW",2014
2641,96,Domaine Gerovassiliou Epanomi White +,Domaine Gerovassiliou,2013,90,22.0,"A vibrant white, with piercing acidity to the crunchy apple, pear and quince flavors, featuring loads of scallion and green herbal notes. Dried tarragon and creamy accents linger on the complex finish. Malagousia and Assyrtiko. Drink now through 2018. 8,333 cases made. —KM",2014
2642,86,Pali Wine Co. Pinot Noir Santa Barbara County Huntington +,Pali Wine Co.,2012,90,23.0,"Notably floral and spicy, with firm tannins amid the dark berry, mocha, roasted herb and fresh-turned earth flavors. This is complex, dense and persistent, gaining depth and length. Drink now through 2022. 9,218 cases made. —JL",2014
2643,79,Marqués de Griñon Cabernet Sauvignon Dominio de Valdepusa +,Marqués de Griñon,2010,93,40.0,"This dense and harmonious red delivers plum, tobacco, cedar and mineral flavors that mingle over muscular but polished tannins. A bit reticent, but balanced and deep. Drink now through 2025. 3,000 cases made. —TM",2014
2644,90,Domäne Wachau Grüner Veltliner Federspiel Trocken Wachau Terrassen +,Domäne Wachau,2012,90,14.0,"This features a supple texture, with flavors of ripe pineapple and apple tart accented by a rich creaminess. Ginger snap and white chocolate details show on the airy, elegant finish. Drink now through 2017. 17,000 cases made. —KM",2014
2645,98,Domaine Terlato & Chapoutier Shiraz-Viognier Victoria +,Domaine Terlato & Chapoutier,2012,90,19.0,"Vibrant, expressive and distinctive, with citrus and mineral overtones around a core of blueberry and spice, lingering on the taut finish. Best from 2016 through 2020. 5,000 cases made. —HS",2014
2646,82,Mulderbosch Faithful Hound Stellenbosch +,Mulderbosch,2011,91,25.0,"Dark and muscular, with layers of fig, blackberry and black currant paste offset by espresso, bittersweet cocoa and smoldering tobacco notes. Fleshy and dense on the finish, but well-defined, with a backdrop of singed cedar and bay leaf. Cabernet Franc, Cabernet Sauvignon, Merlot, Malbec and Petit Verdot. Best from 2015 through 2020. Tasted twice, with consistent notes. 3,000 cases imported. —JM",2014
2647,97,Tenuta delle Terre Nere Etna +,Tenuta delle Terre Nere,2012,90,22.0,"Fresh and elegant, with a core of ripe crushed cherry and wild strawberry fruit. The chewy tannins impart supple structure and weight, while hints of ground anise, dried thyme and smoky mineral add complexity and linger on the finish. Drink now through 2022. 7,500 cases made. —AN",2014
2648,81,Domaine de Triennes Vin de Pays du Var St.-Auguste +,Domaine de Triennes,2010,90,20.0,"A dark, smoky version, with mulled plum and blackberry paste notes liberally lined with charcoal, dark olive and bay leaf flavors. Features a rugged feel through the toasty finish. Syrah, Cabernet Sauvignon and Merlot. Drink now through 2016. 1,125 cases made. —JM",2014
2649,99,Loimer Grüner Veltliner Qualitätswein Trocken Kamptal +,Loimer,2012,91,22.0,"A bright, crisp white, with savory hints to the laserlike flavors of Fuji apple, Meyer lemon and melon. Long and richly spiced midpalate, presenting hints of ginger and kiwifruit on the finish. Drink now through 2019. 5,416 cases made. —KM",2014
2650,91,Domaine La Barroche Châteauneuf-du-Pape Pure +,Domaine La Barroche,2012,95,78.0,"Concentrated but remarkably refined, this features a large core of raspberry, red currant and black cherry fruit that is pure, silky and beautifully defined. Hints of shiso leaf, iron and black tea line the finish, which has serious length thanks to finely beaded acidity. A deft marriage of power and grace. Best from 2015 through 2030. 1,900 cases made. —JM",2014
2651,100,Saint Clair Pinot Noir Marlborough Pioneer Block 16 Awatere +,Saint Clair,2012,92,31.0,"This offers a good mix of fresh, ripe raspberry and cherry flavors, with details of forest floor, black tea, cigar box and nutmeg, finishing with nuances of warm baking spices and a touch of firmness. Drink now through 2025. 1,000 cases made. —MW",2014
2652,92,Vecchia Cantina di Montepulciano Vino Nobile di Montepulciano Incanto +,Vecchia Cantina di Montepulciano,2010,90,15.0,"Rich and rangy, this black cherry, plum-, tar- and spice-infused red is backed by a base of beefy tannins. Balanced overall, with a long finish of earth and spice. Best from 2016 through 2027. 22,000 cases made. —BS",2014
2653,89,Carol Shelton Zinfandel Mendocino County Wild Thing Old Vine +,Carol Shelton,2011,90,19.0,"Vibrant and zesty, offering smoky cherry aromas and complex briary raspberry, underbrush and cracked pepper flavors. Drink now through 2017. 3,500 cases made. —TF",2014
2654,93,Recanati Cabernet Sauvignon Galilee +,Recanati,2012,90,17.0,"A rich red, showing good power to the mineral-infused dried blackberry, dark plum and currant flavors. Engaging dried herbal notes emerge on the focused finish. Kosher. Drink now through 2017. 14,000 cases made. —KM",2014
2655,88,Christian Moreau Père & Fils Chablis +,Christian Moreau Père & Fils,2012,91,31.0,"Rich, with fine cut framing the apple, lemon and melon flavors. A chalky intensity leaves a puckering sensation, but the mineral element lingers. Give this time to settle down. Best from 2016 through 2024. 2,126 cases imported. —BS",2014
2656,94,Château Lamartine Cahors +,Château Lamartine,2011,90,19.0,"There's a ripe plushness to the dried blackberry, fig and tobacco flavors that lengthen out on the spice-infused midpalate. Baker's chocolate, cream and vanilla notes power the finish. Malbec and Merlot. Drink now through 2019. 4,500 cases made. —KM",2014
2657,1,Peter Michael Cabernet Sauvignon Oakville Au Paradis +,Peter Michael,2012,96,195.0,"Deliciously pure and supple, with explosive dark berry and red berry flavors and a silky, polished texture. The tannins become more evident midway through, with a gravelly crushed rock profile that adds a dimension of dust and mineral. Drink now through 2030. 1,785 cases made. —JL",2015
2658,2,Quilceda Creek Cabernet Sauvignon Columbia Valley +,Quilceda Creek,2012,96,140.0,"Polished, focused and generous, with red plum and cherry flavors in an elegant package, framed with fine tannins. A savory, meaty note runs through this at a subterranean level. Lingers beautifully. Drink now through 2028. 4,125 cases made. —HS",2015
2659,10,Klein Constantia Vin de Constance Constantia +,Klein Constantia,2009,95,80.0,"Rich and unctuous, yet superbly racy, this offers a gorgeous panoply of dried apricot, fig, mango and quince flavors, underscored by a lively blood orange note and backed by a long, ginger- and green tea-filled finish. Youthfully tight, this should cruise for some time in the cellar. Muscat de Frontignan. Best from 2016 through 2030. 2,500 cases made. —JM",2015
2660,4,Il Poggione Brunello di Montalcino +,Il Poggione,2010,95,85.0,"Rich, with excellent density, ripe cherry and plum fruit, and a well-integrated structure. Licorice, earth and tobacco notes add depth while this cruises to a long, tobacco- and mineral-tinged finish. Shows balance and grip. Best from 2018 through 2033. 18,000 cases made. —BS",2015
2661,15,Abadia Retuerta Viño de la Tierra de Castilla y León Sardon de Duero Selección Especial +,Abadia Retuerta,2011,94,30.0,"Alluring for its plush texture and impressive for its depth, this red delivers plum, currant, licorice, tar and mineral flavors that are rich and focused. The firm tannins are well-integrated, kept lively by fresh acidity. Smoke and floral notes mingle on the long finish. Drink now through 2031. 30,000 cases made. —TM",2015
2662,3,Evening Land Pinot Noir Eola-Amity Hills Seven Springs Vineyard La Source +,Evening Land,2012,98,70.0,"Seductive, silky and supple, this red layers its gorgeous currant, plum, blueberry and spice flavors on a lithe frame, coming together harmoniously on the long, expressive finish. Drink now through 2022. 1,176 cases made. —HS",2015
2663,5,Mount Eden Vineyards Chardonnay Santa Cruz Mountains +,Mount Eden Vineyards,2012,95,60.0,"Spicy, toasty, aromatic oak offers an enticing start, with a fresh, vibrant core of lemon-lime, lemon curd, white peach and stone fruit that is very tight, dense, focused and persistent. Ends with a juicy Key lime aftertaste. Drink now through 2029. 1,986 cases made. —JL",2015
2664,6,Bodegas Aalto Ribera del Duero +,Bodegas Aalto,2012,94,54.0,"This red shows focus and density, with rich flavors of plum, blackberry, cocoa, licorice and mineral. The structure is muscular but graceful, featuring ripe fruit complemented by savory notes that keep this balanced and fresh. Best from 2016 through 2032. 2,400 cases imported. —TM",2015
2665,9,Clos Fourtet St.-Emilion +,Clos Fourtet,2012,94,72.0,"Gorgeous, with a pure, unadorned violet aroma giving way to very ripe and stylish plum, boysenberry and blackberry fruit. Offers a suave mouthfeel, with anise and tobacco hints filling the background. A finely stitched chalk note extends the finish. Not shy on depth, and sneakily long. Best from 2017 through 2030. 3,500 cases made. —JM",2015
2666,7,Escarpment Pinot Noir Martinborough Kupe Single Vineyard +,Escarpment,2013,95,69.0,"Complex, concentrated and intriguing, with fleshy blackberry and plum flavors at the core, showing highlights of black walnut, sandalwood, dried pine needle, black pepper and musky Darjeeling tea. The tannins are refined and plush, and the finish is epic. Drink now through 2030. 500 cases imported. —MW",2015
2667,11,Big Table Farm Pinot Noir Willamette Valley +,Big Table Farm,2012,95,40.0,"Vibrant and intense, pulsing with mint-edged raspberry and spice flavors that ride easily over velvety tannins and persist on the refined, gently minerally finish. Drink now through 2022. 784 cases made. —HS",2015
2668,8,Masi Amarone della Valpolicella Classico Serègo Alighieri Vaio Armaron +,Masi,2008,95,85.0,"An elegant, impeccably balanced red, layering sculpted tannins with finely knit flavors of plumped black cherry, plum sauce, cured tobacco, dark chocolate and woodsy spice. A rich vein of smoky minerality sings on the lasting finish. Drink now through 2035. 3,750 cases made. —AN",2015
2669,20,Meiomi Pinot Noir Monterey-Sonoma-Santa Barbara Counties +,Meiomi,2013,92,22.0,"Rich yet medium-weight, offering an exciting interplay of berry, oak, earth and spice notes, with subtle edges to the blueberry, raspberry, mocha and fresh-turned earth flavors. Ends with an aftertaste of melted black licorice. Drink now through 2020. 317,592 cases made. —JL",2015
2670,25,Quinta do Crasto Douro Superior +,Quinta do Crasto,2012,93,30.0,"Well-crafted and suave, with refined flavors of raspberry tart, red plum and cherry pastry, matched to cardamom and savory spice notes. Silky tannins and a plush, creamy finish offer chocolate mousse accents. Drink now through 2022. 15,166 cases made. —KM",2015
2671,17,Turley Petite Syrah Howell Mountain Rattlesnake Ridge +,Turley,2013,95,44.0,"Bright, vivid and extremely aromatic, with lavender, white pepper and cinnamon notes up front, backed by a core of huckleberry, blackberry and blueberry flavors. The fleshy tannins have a rustic appeal, but never get in the way of the details on the long finish, accented by mineral, toasted herb and black tea elements. Drink now through 2030. 475 cases made. —MW",2015
2672,12,Limerick Lane Zinfandel Russian River Valley +,Limerick Lane,2012,94,32.0,"A knockout Zinfandel, balancing an opulent texture with great focus and depth. Aromas of rose petal and raspberry lead to rich and layered flavors of cherry, herbes de Provence and cracked white pepper. Finishes with a bounce of acidity and ripe, lively tannins. Drink now through 2020. 1,440 cases made. —TF",2015
2673,19,Dehlinger Pinot Noir Russian River Valley Altamont +,Dehlinger,2013,95,60.0,"A seamless, fleshy expression of juicy, enticing plum, cherry blossom and rose petal, with black cherry flavors at the core. A remarkably charming and seductive effort. Drink now through 2022. 880 cases made. —JL",2015
2674,14,Bergström Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard +,Bergström,2013,95,60.0,"Supple, seductive and distinctive, with pure blueberry fruit, shaded with white pepper, pear skin and floral character. The flavors dance merrily into the long, deftly balanced finish. Offers presence and intensity without extra weight. Drink now through 2023. 1,500 cases made. —HS",2015
2675,16,Taylor Fladgate Late Bottled Port +,Taylor Fladgate,2009,93,25.0,"Dense and rich, with amply spiced flavors of ripe dark plum and cherry compote. Mineral notes emerge midpalate, leading to a lush, chocolate-filled finish. A fresh and engaging style. Drink now. 5,600 cases imported. —KM",2015
2676,18,Altesino Brunello di Montalcino Montosoli +,Altesino,2010,98,125.0,"A stunning red, delivering peony, strawberry, cherry and mineral flavors, accented by notes of wild herbs. Intense and deep, with great purity and elegance, a firmly wrought structure and a long finish. The harmony between fruit, tannins and acidity should allow this to age beautifully. Best from 2019 through 2036. 1,300 cases made. —BS",2015
2677,21,Cloudy Bay Sauvignon Blanc Marlborough +,Cloudy Bay,2014,93,28.0,"Stylish and generous, exhibiting a complex array of flavors, from white grapefruit and lemon curd to candied ginger, lemon verbena, honeysuckle and lime zest. Achieves elegance, power and refreshment in lovely harmony. Drink now. 44,000 cases imported. —MW",2015
2678,13,La Serena Brunello di Montalcino +,La Serena,2010,96,60.0,"Mint and eucalyptus aromas give way to dried cherry and soy flavors in this firmly tannic Brunello. Sweetness and acidity drive the long finish of fruit, spice and mineral. Should be a great bottle in time. Best from 2019 through 2036. 1,700 cases made. —BS",2015
2679,22,Gramercy Syrah Walla Walla Valley The Deuce +,Gramercy,2012,95,52.0,"Supple, ripe and provocative, with mineral, licorice and tapenade flavors running through a plush, generous core of dark plum and black cherry. Shows presence and polish. Drink now through 2022. 583 cases made. —HS",2015
2680,26,Carpineto Vino Nobile di Montepulciano Riserva +,Carpineto,2010,93,31.0,"Enticing aromas of sweet cherry, leather, spice and underbrush stay focused on the palate as this harmonious red unfolds. The hint of oak on the finish suggests this still has time to evolve. Offers a mineral-laced finish. Drink now through 2024. 11,600 cases made. —BS",2015
2681,23,Bodegas LAN Rioja Edición Limitada +,Bodegas LAN,2011,94,50.0,"This rich red delivers ripe, racy flavors of blackberry, kirsch, toast, spice and mineral. Plush but dense, with subtle yet powerful tannins and tangy acidity. A big wine, showing energy and style. Drink now through 2031. 6,250 cases made. —TM",2015
2682,24,Blandy's Bual Madeira +,Blandy's,2002,94,50.0,"Deep, rich and exotic-tasting, with plenty of smoky accents to the dried mango, apricot and roasted pineapple flavors, featuring notes of crème brûlée. Very fresh midpalate, presenting an unctuous finish of ginger and cream. Drink now through 2050. 500 cases made. —KM",2015
2683,30,Dominio de Tares Mencía Bierzo Cepas Viejas +,Dominio de Tares,2011,93,30.0,"The plush texture delivers rich flavors of plum, blackberry and boysenberry, with accents of coffee, mountain herb, cedar and mineral. Fine-grained tannins give this structure, showing enough acidity to stay fresh. A modern-style red. Drink now through 2025. 10,000 cases made. —TM",2015
2684,31,K The Creator Walla Walla Valley +,K,2012,94,55.0,"Supple, expressive, polished and generous, with layers of dark berry, cherry, black olive and spice flavors that merge harmoniously on the long and refined finish. Cabernet Sauvignon and Syrah. Drink now through 2022. 1,301 cases made. —HS",2015
2685,27,Livio Sassetti Brunello di Montalcino Pertimali +,Livio Sassetti,2010,95,55.0,"This features depth and complexity, from the cherry and menthol notes to the earth and mineral elements. Tightly wound, with a core of sweet fruit offsetting the burly tannins, this lingers on the finish, showing fine equilibrium and the potential to develop. Best from 2019 through 2035. 3,400 cases made. —BS",2015
2686,45,Colene Clemens Pinot Noir Chehalem Mountains Margo +,Colene Clemens,2012,93,36.0,"Lithe and expressive, shading black cherry fruit with glints of mint, loamy earth and walnut. Fine tannins underline a long, dancing finish. Best from 2016 through 2022. 1,711 cases made. —HS",2015
2687,60,Roederer Estate Brut Anderson Valley L'Ermitage +,Roederer Estate,2007,93,48.0,"Impeccably refined and elegant, with floral aromas of fresh brioche, baked apple and roasted hazelnut. The flavors are layered and well-focused, showing notes of mineral, fresh ginger and subtle raspberry. Drink now through 2017. 3,283 cases made. —TF",2015
2688,28,Baer Ursa Columbia Valley +,Baer,2012,94,39.0,"The core glows with ripe blackberry, dark plum, mint and floral flavors, gliding over lightly prickly tannins into the long and compelling finish. Feels almost weightless, but has tremendous depth. Merlot, Cabernet Franc, Cabernet Sauvignon and Malbec. Drink now through 2020. 1,219 cases made. —HS",2015
2689,44,Piattelli Malbec Luján de Cuyo Premium Reserve +,Piattelli,2013,90,17.0,"Redolent of blueberry and dark currant, this fresh, pure style is matched with plenty of minerally components. The complex finish offers white pepper and bittersweet chocolate details. Drink now through 2019. 13,395 cases made. —KM",2015
2690,41,Podere Sapaio Bolgheri Volpolo +,Podere Sapaio,2012,93,35.0,"An enticing combination of black currant, black cherry, violet, cedar and cigar box flavors highlight this intense, structured red, which needs some time to resolve the tannins, but this shows ample fruit and balance. Cabernet Sauvignon, Merlot and Petit Verdot. Best from 2018 through 2033. 7,500 cases made. —BS",2015
2691,40,Pomelo Sauvignon Blanc California +,Pomelo,2014,90,12.0,"Graceful, with fragrant orange blossom, ruby grapefruit and white peach flavors that are fresh and lively, set on a light, lithe body. Appealing lime zest and passion fruit accents show on the long finish. Drink now. 38,000 cases made. —MW",2015
2692,50,Bartolo Mascarello Barolo +,Bartolo Mascarello,2010,97,138.0,"A floral-, cherry- and berry-laced version, delicate and lively, with mineral and spice accents. The texture is supple, with a glycerol feel. Borders on racy, with woodsy and mineral notes emerging on the pleasantly long finish. Best from 2017 through 2035. 1,250 cases made. —BS",2015
2693,36,Bodegas Godeval Valdeorras Viña Godeval Cepas Vellas +,Bodegas Godeval,2013,92,20.0,"This alluring white delivers a broad range of flavors in a pillowy texture, while crisp, well-integrated acidity maintains the focus. Melon, coconut, spice and smoke flavors mingle harmoniously on the plush palate. The mineral element is fresh and long. Godello. Drink now through 2018. 1,800 cases imported. —TM",2015
2694,57,Altamura Cabernet Sauvignon Napa Valley +,Altamura,2012,95,90.0,"Amazingly pure, rich and complex, with tiers of dark berry, blackberry, wild berry, blueberry and boysenberry layered on top of black licorice and dusty, gravelly earth details, all well-centered. The finish sails on, with a mocha brownie aftertaste. Drink now through 2028. 3,500 cases made. —JL",2015
2695,38,Soléna Pinot Noir Willamette Valley Grande Cuvée +,Soléna,2012,92,25.0,"Sleek, lithe and inviting, with juicy cherry, black cherry and gentle spice flavors that glide quickly over polished tannins into a long and vivid finish. This has presence, harmony, depth and persistence. Best from 2016 through 2022. 7,000 cases made. —HS",2015
2696,37,Viña Montes Syrah Colchagua Valley Alpha +,Viña Montes,2012,92,22.0,"Deeply colored and voluptuous, with a lush, spicy aroma and rich flavors of blackberry, blueberry and dark plum. Concentrated chocolate mousse notes emerge midpalate, leading to a cream-filled finish that ends with plenty of mocha accents. Drink now through 2021. 2,000 cases imported. —KM",2015
2697,48,Calera Chardonnay Central Coast +,Calera,2013,90,20.0,"Clean, pure and juicy, offering a refreshing mix of ripe pear, apple and melon flavors, shaded by a chalky minerality and followed by a long lingering finish. Drink now. 13,929 cases made. —JL",2015
2698,43,Collosorbo Brunello di Montalcino +,Collosorbo,2010,94,50.0,"Coffee and chocolate aromas signal this exotic and fragrant red. The cherry and plum notes are almost afterthoughts, while spice, leather and tobacco flavors come to the fore, with vivid acidity through the lingering finish. Best from 2019 through 2035. 3,300 cases made. —BS",2015
2699,39,Real Companhia Velha Douro Porca de Murça Red +,Real Companhia Velha,2013,90,10.0,"A taut, sinewy style, with notes of slate and white pepper to the roasted plum and dried red berry flavors. Medium-grained tannins emerge on the snappy finish, showing ferrous accents. Drink now through 2020. 250,000 cases made. —KM",2015
2700,54,Kumeu River Chardonnay Kumeu Estate +,Kumeu River,2012,93,34.0,"Sleek and generous, with peach, pear, spice and honey notes, supported by refreshing, vibrant acidity. The spice and toasted nut notes gain momentum on the long, lingering finish. Drink now through 2022. 5,500 cases made. —MW",2015
2701,35,Rombauer Chardonnay Carneros +,Rombauer,2013,93,36.0,"A creamy-textured, charming style that's easy to drink yet is deceptively complex and layered, with a mix of vanilla-scented oak and vibrant peach, nectarine, honeydew and apricot flavors. Long on the finish. Drink now. 100,000 cases made. —JL",2015
2702,33,Pewsey Vale Riesling Eden Valley Dry +,Pewsey Vale,2014,91,17.0,"Taut, sleek, polished and distinctively spicy, with black pepper, white pepper, floral and citrus flavors on a lively frame. Best from 2019 through 2030. 4,000 cases imported. —HS",2015
2703,29,Tenshen White Santa Barbara County +,Tenshen,2014,92,20.0,"This is lush and powerful, offering fleshy peach and apricot flavors at the core, with plenty of aromatic highlights, including orange blossom and honeysuckle. The texture is appealingly smooth and mouthwatering, with the complex details gaining momentum on the finish, where this reveals hints of dried spice and matcha green tea. Viognier, Roussanne, Grenache Blanc and Chardonnay. Drink now through 2020. 3,500 cases made. —MW",2015
2704,32,Viña Carmen Cabernet Sauvignon Maipo Valley Alto Gran Reserva +,Viña Carmen,2012,91,15.0,"A rich, well-spiced red, with luscious flavors of tar, licorice and dark plum, supported by ample acidity and firm tannins. Offers a lip-smacking finish of dark chocolate and pepper. Drink now through 2019. 20,000 cases made. —KM",2015
2705,51,Alain Brumont Madiran Château Bouscassé +,Alain Brumont,2009,91,20.0,"Bright, tangy acidity and firm tannins provide solid structure to the dried raspberry, red currant and black tea flavors. Layers of new leather and tobacco leaf echo through the mouthwatering finish of sweet spice and mineral. Drink now. 20,000 cases made. —KM",2015
2706,46,Castello d'Albola Chianti Classico +,Castello d'Albola,2011,90,19.0,"Firm and taut, with a core of cherry and berry flavors, accented by underbrush, tobacco and iron notes. Balanced in a lean way, with a lingering aftertaste of earth and mineral. Best from 2016 through 2025. 100,000 cases made. —BS",2015
2707,49,Felton Road Pinot Noir Central Otago Bannockburn +,Felton Road,2013,95,65.0,"Supple wild berry, cherry and plum flavors are both powerful and delicate, with details of Earl Grey tea, white pepper, anise and crushed rock. Expansive and expressive, the finish sails on and on, with satiny tannins that never get in the way. Drink now through 2030. 5,174 cases made. —MW",2015
2708,34,Tenet Syrah Columbia Valley The Pundit +,Tenet,2013,92,25.0,"This shows nice tension between the ripe, dark flavors and crisp, lively structure, featuring a sleek core of plum and smoky tea flavors that carry easily into the long and deftly balanced finish. A little cellaring should soften the tannins. Best from 2017 through 2020. 8,000 cases made. —HS",2015
2709,47,Jean-Marc Brocard Chablis Ste.-Claire +,Jean-Marc Brocard,2014,91,22.0,"A textbook flinty aroma gives way to green apple, lemon and mineral flavors in this white, which shows fine depth and richness, offset by vibrant acidity. Excellent length. Drink now through 2020. 50,000 cases made. —BS",2015
2710,52,Brancaia Toscana Ilatraia +,Brancaia,2012,94,60.0,"Dense and tightly wound, with a beam of black cherry and blueberry fruit. Cedar, smoke, tar and tobacco notes add nuance, giving this a complex impression overall. Balanced and long, with a compact finish that should expand as this integrates more fully. Cabernet Sauvignon, Petit Verdot and Cabernet Franc. Best from 2018 through 2032. 3,750 cases imported. —BS",2015
2711,55,Arcanum Toscana Il Fauno +,Arcanum,2010,92,30.0,"A round version, featuring rich cherry fruit mingling with an earthy element. Turns firm and dry on the finish, with gumcoating tannins, yet this remains persistent and long, revealing a tobacco accent. Merlot, Cabernet Franc, Cabernet Sauvignon and Petit Verdot. Best from 2017 through 2026. 5,200 cases made. —BS",2015
2712,42,Keplinger SUMŌ Amador County +,Keplinger,2013,95,70.0,"Shows excellent purity and intensity to the huckleberry and blueberry coulis flavors, with supple, velvety tannins and an aromatic lift from violet and white pepper details. Notes of sandalwood, black walnut, Earl Grey tea and nutmeg gain momentum on the tremendous finish, where the details and elegance persist. Petite Sirah, Syrah and Viognier. Drink now through 2030. 220 cases made. —MW",2015
2713,58,Torre de Oña Rioja Finca San Martín Crianza +,Torre de Oña,2012,91,14.0,"This red is focused and polished, delivering harmonious flavors of black cherry, olive, smoke and mineral. The tannins are well-integrated, the acidity fresh. A bit reserved, but has depth. Drink now through 2022. 10,500 cases made. —TM",2015
2714,53,Descendientes de J. Palacios Bierzo Pétalos +,Descendientes de J. Palacios,2013,91,23.0,"Expressive black cherry, currant, licorice, mineral and smoke flavors mingle in this focused red. The texture is gentle but firm, with well-integrated tannins and racy acidity providing structure. A compact wine that shows good intensity. Drink now through 2023. 30,000 cases made. —TM",2015
2715,56,Cune Rioja Imperial Reserva +,Cune,2010,93,44.0,"Smoky and tarry notes give this rich red an austere character, but plum, licorice, soy and mineral notes promise an expressive future. The tannins and acidity are balanced and unobtrusive. Best from 2016 through 2030. 1,500 cases imported. —TM",2015
2716,59,Rodney Strong Cabernet Sauvignon Alexander Valley Rockaway Single Vineyard +,Rodney Strong,2012,94,75.0,"A remarkable wine that exhibits powerful flavors of ripe currant, blackberry and cherry along with pleasing notes of cedary cigar box, dried herb, green olive and tea. Ends with firm, dusty tannins and fine length. Drink now through 2028. 1,808 cases made. —JL",2015
2717,64,Grapes of Roth Merlot Long Island +,Grapes of Roth,2010,92,44.0,"A polished texture carries balanced flavors of tart cherry, pomegranate, toasted hazelnut and espresso in this expressive red. Features firm, well-integrated tannins and lively acidity. Elegant. Drink now through 2022. 2,592 cases made. —TM",2015
2718,61,Clarendon Hills Grenache Clarendon Romas +,Clarendon Hills,2009,95,75.0,"This has terrific presence, with dark berry, cherry and floral flavors on a taut frame, expanding on the finish against nubby tannins that linger expressively and intensely. Best from 2017 through 2021. 500 cases imported. —HS",2015
2719,62,Oddero Barolo +,Oddero,2011,93,48.0,"This red is tightly wound, binding the cherry, strawberry, licorice and mentholated herb flavors with fine-grained tannins and lively acidity. All the elements are there, but this needs time to find equilibrium. Fine length. Best from 2018 through 2030. 4,000 cases made. —BS",2015
